nom	ville	province	region	telephone	email	site_web	source_url
Alba Societa	Mesagne	BR	Puglia	831778467			https://www.paginegialle.it/mesagne-br/cooperativa-lavoro/alba-onlus_16033788
A.M.I.C.A. Salus Societa' Cooperativa	Acquaviva delle Fonti	BA	Puglia	808415026			https://www.paginegialle.it/acquaviva-delle-fonti-ba/a.m.i.c.a.-salus-societa-cooperativa
Anthropos - Societa	Giovinazzo	BA	Puglia	8.03948E+18			https://www.paginegialle.it/giovinazzo-ba/cooperativa-lavoro/anthropos-societa-cooperativa-sociale-r.l.
Anthropos - Societa	Giovinazzo	BA	Puglia	8.03947E+38		https://wa.me/+393382966505?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/giovinazzo-ba/associazioni-socio-economiche/anthropos-societa-cooperativa-sociale-r.l.
Anthropos - Societa	Guagnano	LE	Puglia	832406433			https://www.paginegialle.it/guagnano-le/cooperativa-lavoro/anthropos-societa-cooperativa-sociale
Masseria Savoia	Ginosa	TA	Puglia	3939105276		https://wa.me/+393939105276?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseria-savoia-resort-ginosa
Masseria Furca	Otranto	LE	Puglia	3291588499		https://wa.me/+393291588499?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseria-furca-otranto-le
Villa Cenci	Carovigno	BR	Puglia	8.04448E+18		https://wa.me/+393336609478?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/villacencicarovigno
Aziende Agricole Autigne di Daniele Negro	Otranto	LE	Puglia	8.36801E+28		https://wa.me/+393356302726?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/agriturismo-masseria-autigne-otranto-le
Masseria Ferarelli Trepizzi	Diso	LE	Puglia	3757277725		https://wa.me/+393757277725?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseriaferarellitrepizzi-diso
Masseria Mongio dell'Elefante	Otranto	LE	Puglia	3289764677		https://wa.me/+393289764677?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseriamongiodellelefante-otranto
Masseria Le Pianelle	Martina Franca	TA	Puglia	3687872640		https://wa.me/+393687872640?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masserialepianelle
Ristorante e Beb Masseria Lella	Manduria	TA	Puglia	3892755729		https://wa.me/+393892755729?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/ristorante-beb-masseria-lella-manduria
Masseria Sanrà	Noicattaro	BA	Puglia	8.02146E+28		https://wa.me/+393270820982?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseria-sanra-noicattaro
Masseria Storica Pilapalucci	Toritto	BA	Puglia	3.49437E+18			https://www.paginegialle.it/masseriastoricapilapalucci-toritto
Agriturismo Masseria Chinunno	Altamura	BA	Puglia	8.0314E+18		https://wa.me/+393458522751?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseriachinunno
Masseria Maccarone	Fasano	BR	Puglia	8.04829E+18		https://wa.me/+393314891613?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseriamaccarone
Masseria Pitanni	Gallipoli	LE	Puglia	3939744483		https://wa.me/+393939744483?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseria_pitanni
Masseria Pozzelle	Giurdignano	LE	Puglia	3383745270		https://wa.me/+393383745270?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseria-pozzelle-giurdignano-le
Masseria Papaperta	Alberobello	BA	Puglia	3.93333E+11		https://wa.me/+39393332554061?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masseria-papaperta-alberobello-ba
Ristorante Pizzeria B&B - Masseria ‘Nzeta	Carovigno	BR	Puglia	3770205907		https://wa.me/+393770205907?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masserianzeta
Agriturismo e Masseria Didattica Tenuta Lu Cantieri	Novoli	LE	Puglia	3.92758E+19		https://wa.me/+393927578742?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/agriturismo-lucantieri-novoli
Masseria Sant' Angelo	Gravina in Puglia	BA	Puglia	803264255			https://www.paginegialle.it/masseria-santangelo-gravina-in-puglia-ba
Masseria Galatea	Alessano	LE	Puglia	3287482252			https://www.paginegialle.it/masseriagalatea-alessano
Masseria Garrappa	Monopoli	BA	Puglia	806902898			https://www.paginegialle.it/masseriagarrappa-monopoli
Agriturismo Masseria Tenuta Deserto	San Vito dei Normanni	BR	Puglia	3479141045			https://www.paginegialle.it/agriturismomasseriatenutadeserto-sanvitodeinormanni
Masseria Francesca dimora storica	Crispiano	TA	Puglia	3920281449			https://www.paginegialle.it/masseriafrancescadimorastorica-crispiano
Masseria Le Lamie	Villa Castelli	BR	Puglia	3442547624		https://wa.me/+393442547624?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masserialelamie-villacastelli
Frantoio Perilli Famiglia Olearia dal 1949	Terlizzi	BA	Puglia	3.40858E+29		https://wa.me/+393408582052?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/frantoioperilli
Oleificio Abbracciavento	Alberobello	BA	Puglia	8.04321E+17		https://wa.me/+39335437157?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/oleificio-abbracciavento
Oleificio Cooperativo della Riforma Fondiaria di Leverano	Leverano	LE	Puglia	832925159			https://www.paginegialle.it/olificiorsleverano
Oleificio Sciroppo	San Severo	FG	Puglia	882227401			https://www.paginegialle.it/oleificiosciropposrl
Frantoio Oleario Sportelli	Carosino	TA	Puglia	9.95929E+18		https://wa.me/+393335903063?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/frantoiooleariosportelli
Nonno Vittorio Cantina e Oleificio	Torremaggiore	FG	Puglia	8.822E+19		https://wa.me/+393334838462?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/nonno-vittorio-cantina-oleificio
Oleificio Cooperativo di Monopoli	Monopoli	BA	Puglia	80747424			https://www.paginegialle.it/oleificiocoopertivo
Produzione Olio e Carrelli Elevatori Sblano	Palo del Colle	BA	Puglia	8.06268E+17		https://wa.me/+393388342861?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/produzione-olio-e-carrelli-elevatori-sblano-palo-del-colle
Olio Copape	Fasano	BR	Puglia	804897278			https://www.paginegialle.it/copape-olialimentariefrantoioleari-fasano
Vinicola di Gioia Azienda Agroalimentare	Cellamare	BA	Puglia	804656064	digioiasrl@tiscali.it	https://www.vinicoladigioia.it	https://www.paginegialle.it/digioiavinicola
Agriturismo Li Damiani	Otranto	LE	Puglia	3.29641E+19		https://wa.me/+393296410082?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/aziendaagrituristicalidamiani
Eupolii S.r.l. - Olio Pomes	Ostuni	BR	Puglia	8.31332E+18		https://wa.me/+393313313834?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/oliopomes
Porta d'Oriente	Carpignano Salentino	LE	Puglia	3.20212E+19		https://wa.me/+393911507592?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/porta-d-oriente-carpignano-salentino
Pantaleo	Fasano	BR	Puglia	804425588			https://www.paginegialle.it/olio-extravergine-pantaleo
Enoil S.r.l. Prodotti Tipici C/O  Vinicola di Gioia	Cellamare	BA	Puglia	808893695			https://www.paginegialle.it/enoilprodottitipicipugliesi
Oleificio Padre Pio	San Giovanni Rotondo	FG	Puglia	8.82451E+18		https://wa.me/+393336921172?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/oleificiopadrepio-sangiovannirotondo-fg
Domus Oleorum	Ostuni	BR	Puglia	3242633750		https://wa.me/+393242633750?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/domus-oleorum-ostuni-br
Enoteca Il Tralcio	Monopoli	BA	Puglia	8.09301E+18		https://wa.me/+393403077827?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/enotecailtralcio
Cantine Terre Bianche Cappabianca	Lucera	FG	Puglia	3381917621		https://wa.me/+393381917621?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/cantine-terre-bianche-cappabianca-lucera-fg
Cantina e Oleificio Sociale di San Marzano Societa' Cooperativa Agricola	San Marzano di San Giuseppe	TA	Puglia	9.99571E+28			https://www.paginegialle.it/san-marzano-di-san-giuseppe-ta/vini-e-spumanti/cantina-oleificio-sociale-san-marzano-soc.-coop.-a
Consorzio Produttori Vini e Mosti Rossi Soc. Coop. Agr.	Manduria	TA	Puglia	9.99735E+18			https://www.paginegialle.it/manduria-ta/vini-e-spumanti/consorzio-produttori-vini-mosti-rossi-soc.coop.a.r
Agricola Rucco Produzione e Vendita Vini del Salento	San Pietro Vernotico	BR	Puglia	831671076			https://www.paginegialle.it/san-pietro-vernotico-br/cantine-sociali/agricola-rucco-soc-coop-a-r-l_20180559
Agricola Rucco Soc. Coop. a R.L.	San Pietro Vernotico	BR	Puglia	831671076			https://www.paginegialle.it/san-pietro-vernotico-br/cantine-sociali/agricola-rucco-soc-coop-a-r-l
Azienda Agricola Conti Zecca	Leverano	LE	Puglia	832925613			https://www.paginegialle.it/leverano-le/cantine-sociali/conti-zecca
Cantina Cooperativa della Riforma Fondiaria Soc. Coop. a R.L.	Bari	BA	Puglia	805227601			https://www.paginegialle.it/bari-ba/cantina-cooperativa-riforma-fondiaria-ruvo-puglia
Cantina Cooperativa della Riforma Fondiaria Soc. Coop. a R.L.	Altamura	BA	Puglia	805749957			https://www.paginegialle.it/altamura-ba/vini-e-spumanti/cantina-cooperativa-della-riforma-fondiaria-soc-coop
Cantina Cooperativa della Riforma Fondiaria Soc. Coop. a R.L.	Ruvo di Puglia	BA	Puglia	8.03602E+28			https://www.paginegialle.it/ruvo-di-puglia-ba/cantine-sociali/cantina-cooperativa-crifo
Cantina e Oleificio Sociale di Lizzano - Luigi Ruggieri - Societa ' Cooperativa Agricola	Lizzano	TA	Puglia	9.99552E+18			https://www.paginegialle.it/lizzano-ta/cantine-sociali/cantina-oleificio-sociale-lizzano-luigi-ruggieri_2
Cantina e Oleificio Sociale di Manduria Societa' Cooperativaagricola con Acronimo Cantolio Manduria soc.coop. Agricola	Manduria	TA	Puglia	999796045			https://www.paginegialle.it/manduria-ta/cantine-sociali/cantina-e-oleificio-sociale-di-manduria-agricola-con-acronimo-cantolio-manduria-agricola
Cantina ed Oleificio Sociale La Popolare Societa' Cooperativa Agr Icola	Sava	TA	Puglia	999747889			https://www.paginegialle.it/sava-ta/cantine-sociali/cantina-oleificio-sociale-popolare-sca
Cantina Sociale Cellinese	Cellino San Marco	BR	Puglia	8.31619E+18			https://www.paginegialle.it/cellino-san-marco-br/cantine-sociali/cantina-sociale-cellinese_4
Cantina Sociale Cooperativa di Copertino Societa' Cooperativa Agricola	Copertino	LE	Puglia	8.32947E+18			https://www.paginegialle.it/copertino-le/cantine-sociali/cantina-sociale-cooperativa-copertino-societa-coop
Cantina Sociale Cooperativa di San Donaci Societa' Cooperativa Agricola	San Donaci	BR	Puglia	8.31682E+18		https://wa.me/+393277189190?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/san-donaci-br/cantine-sociali/cantina-sociale-cooperativa
Cantina Sociale di Nardo' Societa' Cooperativa	Nardò	LE	Puglia	8.33562E+18		https://wa.me/+393804133216?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/nardo-le/cantine-sociali/cantina-sociale-nardo-societa-cooperativa
Cantina Sociale Luca Gentile	Cassano delle Murge	BA	Puglia	80763294			https://www.paginegialle.it/cassano-delle-murge-ba/cantine-sociali/cantina-sociale-luca-gentile_00977762
Cantina Sociale Sampietrana	San Pietro Vernotico	BR	Puglia	8.31671E+18		https://wa.me/+393356257083?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/san-pietro-vernotico-br/cantine-sociali/cantina-sociale-sampietrana
Cantina Sociale Sampietrana	San Pietro Vernotico	BR	Puglia	8.31671E+18		https://wa.me/+393455654559?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/san-pietro-vernotico-br/cantine-sociali/cantina-sociale-sampietrana_2
Cantine Giuliano S.r.l.	San Severo	FG	Puglia	882376469			https://www.paginegialle.it/san-severo-fg/cantine-sociali/cantine-giuliano_3
Cantine Giuliano S.r.l.	Torremaggiore	FG	Puglia	882383448			https://www.paginegialle.it/torremaggiore-fg/cantine-sociali/cantine-giuliano
Cantine Paradiso	Cerignola	FG	Puglia	8.85429E+18			https://www.paginegialle.it/cerignola-fg/frantoi-oleari/stabilimento-f-lli-paradiso-figli
Coop. Coldiretti	San Ferdinando di Puglia	BT	Puglia	8.83621E+18			https://www.paginegialle.it/san-ferdinando-di-puglia-bt/cantine-sociali/cantina-cooperativa-coltivatori-diretti
Cooperative Intercomunali Riunite De Laurentis -Cantina e Oleificio Sociale di Ostuni Societa' Cooperativa Agricola	Ostuni	BR	Puglia	831331140			https://www.paginegialle.it/ostuni-br/cantine-sociali/cooperative-de-laurentis
Macelleria Bonanno Domenico	San Giovanni la Punta	CT	Sicilia	3482734791		https://wa.me/+393482734791?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/macelleriabonanno
Previte Agriservice	Pace del Mela	ME	Sicilia	909384049			https://www.paginegialle.it/previteagriservice
Sicula Food Express	Scordia	CT	Sicilia	3465307254		https://wa.me/+393465307254?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/sicula-food-express-scordia-ct
Mieli e Sapori Siciliani	Campogrande	ME	Sicilia	3802530425		https://wa.me/+393802530425?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/mieli-e-sapori-siciliani
Gb Italia - Azienda Agricola Lo Sardo	Canicattì	AG	Sicilia	9.22831E+18		https://wa.me/+393351418243?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/gb-italia-srl
Cooperativa agricola Belvedere	Piedimonte Etneo	CT	Sicilia	3423316193		https://wa.me/+393423316193?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/cooperativaagricolabelvedere
Terra d'Amuri	Santa Venerina	CT	Sicilia	9.51696E+19		https://wa.me/+393458809236?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/terradamuri
Azienda agricola Raciti	Linguaglossa	CT	Sicilia	3890095174		https://wa.me/+393890095174?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/azienda-agricola-raciti-linguaglossa-ct
Azienda Agricola  Di Giorgi Maurizio	Ribera	AG	Sicilia	3293664740		https://wa.me/+393293664740?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/agricola-di-giorgi-ribera
Frantoio Ghezzi e Miceli	Melilli	SR	Sicilia	3932131854		https://wa.me/+393932131854?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/frantoioghezziemiceli
Oleificio Baio	Regalbuto	EN	Sicilia	3333503182		https://wa.me/+393333503182?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/oleificio-baio-regalbuto
F.lli Branca S.p.a. Industria Agrumaria	Terme Vigliatore	ME	Sicilia	909781874			https://www.paginegialle.it/flli-branca-lavorazione-agrumi-terme-vigliatore-me
Azienda Avicola Rattenuti	Misilmeri	PA	Sicilia	918723764			https://www.paginegialle.it/avicolarattenuti
Azienda Agricola La Perla dell'Etna eredi di Riolo Pietro	Aci Sant'Antonio	CT	Sicilia	9.57893E+18		https://wa.me/+393479163895?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/azienda-agricola-la-perla-delletna
Frutta Viva Srl	Canicattì	AG	Sicilia	3.70109E+19		https://wa.me/+393701085222?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/fruttaviva
Oleificio Soc. Agr. Oli Segreto	Caltabellotta	AG	Sicilia	9.25953E+18		https://wa.me/+393397009250?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/oleificiosoledisiciliasegreto
Master Fruit	Licata	AG	Sicilia	9.22894E+18		https://wa.me/+393294478666?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/masterfruit
Societa' Cooperativa Agricola Op Italia	Ravanusa	AG	Sicilia	9.22877E+18		https://wa.me/+393429157566?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/societa-cooperativa-agricola-opitalia-ravanusa-ag
Russo Azienda Agricola	Vittoria	RG	Sicilia	3478955522		https://wa.me/+393478955522?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/russo-azienda-agricola-vittoria
Tenuta Idda e Iddu	Paternò	CT	Sicilia	3.20482E+19		https://wa.me/+393913989969?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/tenutaiddaeiddu-aziende-agricole-ct
Formica Pietro Tindaro	Milazzo	ME	Sicilia	3939009714	vivaiformica@gmail.com	https://www.vivaiformica.it	https://www.paginegialle.it/vivai-formica-milazzo-me
Pomodoro Buttiglieddru di Licata	Licata	AG	Sicilia	3.35584E+19		https://wa.me/+393355841573?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/pomodorobuttiglieddrudilicata
L'Agritrio	Linguaglossa	CT	Sicilia	3.8901E+19		https://wa.me/+393890095174?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/azienda-agricola-agritrio-raciti-linguaglossa-ct
Azienda Agricola Chianetta	Favara	AG	Sicilia	3.29424E+19		https://wa.me/+393294238415?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/aziendaagricolachianetta
Caramazza Aromi di Sicilia	Aragona	AG	Sicilia	3899191210		https://wa.me/+393899191210?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/caramazzaaromidisicilia
Prometeo Soc.Coop.	Siracusa	SR	Sicilia	931480318			https://www.paginegialle.it/prometeo-soc-coop-siracusa
Cooperativa Sociale Umana	Siracusa	SR	Sicilia	9.31614E+17		https://wa.me/+393293649775?text=Da PagineGialle:%20[scrivi qui il tuo messaggio]	https://www.paginegialle.it/cooperativa-sociale-umana-siracusa
San Marco Società Cooperativa Sociale	Palma di Montechiaro	AG	Sicilia	922835319			https://www.paginegialle.it/associazionesanmarcoonlus
